"white = object name
yellow = flags
2MASS J04363893+2258119,CFHT 3,,,UPP,BD,69.1625,22.97,Taurus,III,1.5,,2,183.908046,9.548,0.731,-15.974,0.372,16.76,0.376,0.81,0.85,,,Zhang 2018,,,13.724,0.026,12.861,0.024,12.367,0.025,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.75,,"2,752.00",,0.0350,,0.0088,,0.41,,Line Width,Ha 10% width,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
2MASS J04414825+2534304,2MASS J04414825+2534304,,,,BD,70.45,25.5753,Taurus,II,1.5,,2,136.1618692,4.511,0.4,-19.605,0.251,15.22,0.333,1,,,,Herczeg 2008,,,13.73,0.026,12.799,0.021,12.22,0.023,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.75,,"2,752.00",,0.0350,,0.0086,,0.41,,Line Width,Ha 10% width,-233.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01E-12,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
ISO-Oph 032,ISO-Oph 032,,,,BD,246.5912846,-24.74436667,p Oph,II,1,,2,151.2584705,-8.227,0.457,-25.155,0.347,,,2,,,,Natta 2004,17.95,,12.34,0.023,11.48,0.022,10.857,0.023,,,Natta 2004,VLT/UVES,2003,,150.0,,M7.5,0.5,"2,600.00",100,0.0382,,0.06025595861,,1.21,,Line Width,Ha 10% width,-50,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16E-11,,Muzerolle 2003,D'Antona 1998,
[NC98] Cha HA 1,Cha Ha 1,,,UPP,BD,166.8194558,-77.59811722,Chamaeleon I,II,2,,2,196.8039046,-22.448,0.26,1.006,0.244,15.5,0.2,0.2,,,,Natta 2004,,,13.342,0.024,12.668,0.026,12.174,0.024,,,Natta 2004,VLT/UVES,2003,,160.0,,M7.5,0.5,"2,770.00",150,0.0382,,0.01096478196,1.584893192,0.46,,Line Width,Ha 10% width,-35,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,D'Antona 1998,"Mdot, not EW, marked as UL"
2MASS J04294568+2630468,KPNO Tau 5,,,UPP,BD,67.4417,26.5131,Taurus,III,1.5,,2,128.2281435,6.868,0.386,-20.967,0.252,15.77,0.234,0.13,0.85,,,Zhang 2018,19.1,,12.64,0.024,11.918,0.024,11.536,0.018,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.5,,"2,795.00",,0.0400,,0.019,,0.59,,Line Width,Ha 10% width,-26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
Cl* IC 348 LRL 415,IC348 415,,,,BD,56.12485333,32.16096139,IC348,II,1.174897555,,2,417.9553624,3.938,1.984,-6.118,1.302,,,1.35,,,,Muzerolle 2003,,,15.218,0.038,14.371,0.047,13.748,0.039,,,Muzerolle 2003,Keck II/ESI,2001,,,,M6.25,,,,0.0400,,,,0.5,,Line Width,Ha 10% width,-152,,,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.60E+00,,,,1.1,,,,,,,5.01E-10,,Muzerolle 2001,D'Antona 1998,disk classification from Ruiz-Rodrigues 2018
Cl* IC 348 LRL 382,IC348 382,,,,BD,56.1289775,32.0455925,IC348,II,0.4897788194,,,,,,,,14.801207,2.610948,2.77,,,,Muzerolle 2003,,,15.534,0.055,14.446,0.049,13.72,0.04,,,Muzerolle 2003,Keck II/ESI,2001,,,,M6.5,,,,0.0400,,,,0.5,,Line Width,Ha 10% width,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3:,,,,,,,,,,,1.58E-11,,Muzerolle 2001,D'Antona 1998,disk classification from Ruiz-Rodrigues 2018
2MASS J15383166-1038507,DENIS-P J1538317−103850,,,,BD,234.6319612,-10.64742056,Upper Scorpius,II,1,,2,107.7017523,-16.728,0.732,-22.267,0.506,,,,,,,,,,12.029,0.026,11.447,0.03,11.096,0.023,,,Nguyen-Thanh 2020,ANU/WiFeS,7/2018,3.5,107.7,4.1,M5.5,0.5,,,0.0449,,,,,,Line Width,Ha 10% width,-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,0.2,,,0.4,0.1,,,,,,,,,,,,,,,,,,0.41,,,,,,,3.16E-11,1.46E-11,Natta 2004,Allard 2013,
2MASS J15383166-1038507,DENIS-P J1538317−103850,,,,BD,234.6319612,-10.64742056,Upper Scorpius,II,1,,2,107.7017523,-16.728,0.732,-22.267,0.506,,,,,,,,,,12.029,0.026,11.447,0.03,11.096,0.023,,,Nguyen-Thanh 2020,ANU/WiFeS,8/2018,3.5,107.7,4.1,M5.5,0.5,,,0.0449,,,,,,Line Width,Ha 10% width,-25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1,0.2,,,-0.9,0.2,,,,,,,,,,,,,,,,,,0.47,,,,,,,7.94E-10,1.83E-10,Natta 2004,Allard 2013,
2MASS J15383166-1038507,DENIS-P J1538317−103850,,,,BD,234.6319612,-10.64742056,Upper Scorpius,II,1,,2,107.7017523,-16.728,0.732,-22.267,0.506,,,,,,,,,,12.029,0.026,11.447,0.03,11.096,0.023,,,Nguyen-Thanh 2020,ANU/WiFeS,4/2017,3.5,107.7,4.1,M5.5,0.5,,,0.0449,,,,,,Line Width,Ha 10% width,-60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.9,0.6,,,-2.4,0.1,,,,,,,,,,,,,,,,,,0.24,,,,,,,7.94E-09,1.83E-09,Natta 2004,Allard 2013,
2MASS J15383166-1038507,DENIS-P J1538317−103850,,,,BD,234.6319612,-10.64742056,Upper Scorpius,II,1,,2,107.7017523,-16.728,0.732,-22.267,0.506,,,,,,,,,,12.029,0.026,11.447,0.03,11.096,0.023,,,Nguyen-Thanh 2020,ANU/WiFeS,5/2017,3.5,107.7,4.1,M5.5,0.5,,,0.0449,,,,,,Line Width,Ha 10% width,-49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,0.2,,,-2.9,0.2,,,,,,,,,,,,,,,,,,0.22,,,,,,,7.94E-09,1.83E-09,Natta 2004,Allard 2013,
2MASS J15383166-1038507,DENIS-P J1538317−103850,,,,BD,234.6319612,-10.64742056,Upper Scorpius,II,1,,2,107.7017523,-16.728,0.732,-22.267,0.506,,,,,,,,,,12.029,0.026,11.447,0.03,11.096,0.023,,,Nguyen-Thanh 2020,ANU/WiFeS,5/2017,3.5,107.7,4.1,M5.5,0.5,,,0.0449,,,,,,Line Width,Ha 10% width,-50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.8,0.4,,,-1.6,0.1,,,,,,,,,,,,,,,,,,0.38,,,,,,,1.26E-08,2.90E-09,Natta 2004,Allard 2013,
2MASS J04185115+2814332,KPNO Tau 2,,,UPP,BD,64.7125,28.2425,Taurus,III,1.5,,2,125.6565555,8.614,0.626,-24.653,0.369,,,0.46,0.85,,,Zhang 2018,,,13.925,0.025,13.241,0.029,12.753,0.021,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.5,,"2,795.00",,0.0450,,0.0057,,0.32,,Line Width,Ha 10% width,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
[NC98] Cha HA 6,Cha Ha 6,,,,S,167.16459,-77.57131861,Chamaeleon I,II,2,,2,179.3239487,-23.233,0.232,1.443,0.237,13.18,0.84,0.26,,,,Natta 2004,,,12.263,0.027,11.479,0.024,11.038,0.027,,,Natta 2004,VLT/UVES,2003,,160.0,,M7,0.5,"2,840.00",150,0.0477,,0.02691534804,1.584893192,0.68,,Line Width,Ha 10% width,-48,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16E-11,,Muzerolle 2003,D'Antona 1998,
2MASS J04390396+2544264,2MASS J04390396+2544264,,,,BD,69.7665,25.740671,Taurus,II,1.5,,2,143.9884809,7.037,0.362,-20.606,0.249,16.5,0.219,0.8,,,,Herczeg 2008,18.4,,12.646,0.022,11.841,0.021,11.368,0.02,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.25,,"2,838.00",,0.0500,,0.019,,0.57,,Line Width,Ha 10% width,-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01E-12,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
2MASS J11011926-7732383,2MASS J11011926-7732383,,,UPP,BD,165.330275,-77.543976,Chamaeleon I,III,2,,,,,,,,,,1.59,,0.45,,"Luhman+2007 , converted from A_j",19.4,,13.096,0.033,12.217,0.032,11.632,0.026,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.25,,"2,838.00",,0.0500,,0.02,,0.59,,Line Width,Ha 10% width,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
[NC98] Cha HA 11,Cha Ha 11,,,,BD,167.1219112,-77.65549528,Chamaeleon I,II,2,,2,189.6058095,-23.914,0.556,1.752,0.495,,,0,,,,Natta 2004,,,14.586,0.047,13.918,0.03,13.545,0.049,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.25,,"2,838.00",,0.0550,,0.0045,,0.28,,Line Width,Ha 10% width,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-11,,Muzerolle 2003,Baraffe 1998,
[NC98] Cha HA 3,Cha Ha 3,,,UPP,BD,166.9677379,-77.61584583,Chamaeleon I,II,2,,2,196.6336322,-23.142,0.195,1.438,0.187,11.98,1.29,0.3,,,,Natta 2004,,,12.292,0.024,11.52,0.023,11.097,0.019,,,Natta 2004,VLT/UVES,2003,,160.0,,M7,0.5,"2,840.00",150,0.0573,,0.03467368505,1.584893192,0.77,,Line Width,Ha 10% width,-10,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,D'Antona 1998,
ISO-Oph 102,ISO-Oph 102,,,,BD,246.7774683,-24.69691194,p Oph,II,1,,2,142.1221682,-5.694,0.291,-25.03,0.197,,,3,,,,Natta 2004,17.57,,12.433,0.024,11.397,0.024,10.766,0.021,,,Natta 2004,VLT/UVES,2003,,150.0,,M6,0.5,"2,700.00",100,0.0573,,7.94E-02,,1.29,,Line Width,Ha 10% width,-40,,,,,,NaN,,,,NaN,,,,,,,,,,,,,,-2,,,,NaN,,NaN,,,,,,-1,,,,,,,,,,NaN,,,,NaN,,,,,,,,NaN,,,NaN,,,,,,,,,,,NaN,,1.00E-09,,Muzerolle 2003,D'Antona 1998,NaN
2MASS J16262152-2426009,ISO-Oph 030,,,,BD,246.5897454,-24.43361111,p Oph,II,1,,2,136.5933616,-9.05,0.403,-25.287,0.25,,,3,,,,Natta 2004,18.3,,12.57,0.022,11.518,0.026,10.918,0.023,,,Natta 2004,VLT/UVES,2003,,150.0,,M6,0.5,"2,700.00",100,0.0573,,7.08E-02,,1.31,,Line Width,Ha 10% width,-30,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58E-11,,Muzerolle 2003,D'Antona 1998,
2MASS J04394748+2601407,CFHT 4,,,,BD,69.9458,26.0281,Taurus,II,1.5,,2,147.1323897,6.628,0.483,-21.865,0.309,16.687,,6.37,0.85,,,Zhang 2018,,,12.168,0.023,11.008,0.021,10.332,0.018,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7,,"2,880.00",,0.0600,,0.054,,0.94,,Line Width,Ha 10% width,-129.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01E-12,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
ISO-Oph 138,ISO-Oph 138,,,UPP,BD,246.859264,-24.323055,p Oph,II,1,,,,,,,,,,10.9,,3.1,,"Natta+2006, converted from A_j",,,16.398,0.104,14.244,0.048,12.926,0.029,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6.5,,"2,935.00",,0.0650,,0.0081,,0.35,,Line Width,Ha 10% width,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,
[NC98] Cha HA 2,Cha Ha 2,,,,S,166.9264333,-77.56649472,Chamaeleon I,II,2,,,,,,,,12.4,1.68,0.8,,,,Natta 2004,,,12.21,0.024,11.243,0.026,10.675,0.021,,,Natta 2004,VLT/UVES,2003,,160.0,,M6.5,0.5,"2,910.00",150,0.0668,,0.03388441561,1.584893192,0.73,,Line Width,Ha 10% width,-33,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-10,,Muzerolle 2003,D'Antona 1998,
2MASS J11070324-7610565,2MASS J11070324-7610565,,,UPP,BD,166.763507,-76.182381,Chamaeleon I,III,2,,2,201.8530106,-21.874,0.369,0.157,0.272,,,0.39,,0.11,,"Luhman+2007 , converted from A_j",,,13.846,0.034,13.123,0.027,12.752,0.029,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6,,"2,990.00",,0.0700,,0.013,,0.43,,Line Width,Ha 10% width,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
CHSM 7869,CHSM 7869,,,,BD,166.6364953,-76.42251777,Chamaeleon I,II,2,,2,187.1362539,-21.046,0.412,-0.146,0.343,,,1.6,,0.45,,"Luhman+2007 , converted from A_j",,,14.22,0.024,13.531,0.027,13.067,0.027,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6,,"2,990.00",,0.0700,,0.028,,0.39,,Line Width,Ha 10% width,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-10,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
[NC98] Cha HA 10,Cha Ha 10,,,UPP,BD,167.1002379,-77.65834556,Chamaeleon I,II,2,,2,194.7685176,-22.89,0.463,-0.253,0.412,,,0.1,,,,Natta 2004,,,14.31,0.03,13.577,0.035,13.242,0.036,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6.25,,"2,962.00",,0.0700,,0.0089,,0.36,,Line Width,Ha 10% width,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,
2MASS J04381486+2611399,2MASS J04381486+2611399,,,,BD,69.56192,26.194427,Taurus,II,1.5,,2,145.4101293,4.014,1.365,-23.168,1.007,21.238,10.137,10.6,4,,,Zhang 2018,20.33,,15.18,0.05,14.13,0.05,12.98,0.03,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M7.25,,"2,838.00",,0.0700,,0.0018,,0.18,,Line Width,Ha 10% width,-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58E-11,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
[NC98] Cha HA 12,Cha Ha 12,,,UPP,BD,166.6583,-77.7192,Chamaeleon I,II,2,,2,188.5440627,-23.208,0.23,0.991,0.227,13.8,0.2,0.6,,0.18,,"Luhman2007 , converted from A_j",,,12.969,0.027,12.257,0.024,11.811,0.019,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6.5,,"2,935.00",,0.0750,,0.028,,0.65,,Line Width,Ha 10% width,-14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,"Mdot, not EW, marked as UL"
2MASS J04141188+2811535,2M 0414+2811,,,,BD,63.54950971,28.19816947,Taurus,,3.16227766,,2,131.0873697,9.077,0.421,-23.889,0.211,,,1,0.5,,,Herczeg 2008,,,13.161,0.024,12.329,0.022,11.639,0.021,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6.25,,"2,962.00",,0.0750,,0.019,,0.53,,Line Width,Ha 10% width,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-10,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
2MASS J04554801+3028050,2MASS J04554801+3028050,,,UPP,BD,73.950053,30.468056,Taurus,II,1.5,,2,164.8288253,4.602,0.254,-23.697,0.149,,,1,,,,Herczeg 2008,,,13.18,0.026,12.588,0.028,12.155,0.022,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M5.6,,"3,014.00",,0.0750,,0.014,,0.44,,Line Width,Ha 10% width,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,
2MASS J11080234-7640343,2MASS J11080234-7640343,,,UPP,S,167.009773,-76.676208,Chameleon I,III,2,,2,193.2852697,-22.213,0.201,0.892,0.2,,,,,0.11,,"Luhman+2007 , A_j",18.21,,12.945,0.026,12.314,0.023,11.945,0.024,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6,,"2,990.00",,0.0800,,0.024,,0.58,,Line Width,Ha 10% width,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
2MASS J04181710+2828419,V410 Anon 13,,,,S,64.57128792,28.47831139,Taurus,II,3.235936569,,2,124.3719218,5.789,0.737,-25.031,0.366,16.23,0.182,3.83,,,,Muzerolle 2003,,,12.954,0.022,11.659,0.022,10.958,0.017,,,Muzerolle 2003,Keck II/ESI,2001,,,,M5.75,,,,0.0800,,,,,,Line Width,Ha 10% width,-29,,,,-20,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.8,,,,,,,,,,,,,,,,,,,<-0.1,,,,0.5,,,,,,,5.01E-12,,Muzerolle 2001,D'Antona 1998,
2MASS J04181710+2828419,V410 Anon 13,,,,S,64.57128792,28.47831139,Taurus,II,3.235936569,,2,124.3719218,5.789,0.737,-25.031,0.366,16.23,0.182,3.83,,,,Muzerolle 2003,,,12.954,0.022,11.659,0.022,10.958,0.017,,,Muzerolle 2003,Keck I/HIRES,2000,,,,M5.75,,,,0.0800,,,,,,Line Width,Ha 10% width,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.1,,,,0.65,,,,,,,5.01E-12,,Muzerolle 2001,D'Antona 1998,
2MASS J04262939+2624137,KPNO Tau 3,,,,S,66.6208,26.4039,Taurus,II,1.5,,2,155.8797855,10.898,0.364,-17.854,0.289,17.55,0.263,0.82,0.85,,,Zhang 2018,,,13.323,0.022,12.501,0.022,12.079,0.021,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6,,"2,990.00",,0.0800,,0.02,,0.53,,Line Width,Ha 10% width,-144.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-10,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
2MASS J11173792-7646193,2MASS J11173792-7646193,,,UPP,S,169.408026,-76.772049,Chameleon I,III,2,,2,160.3489192,-22.988,0.35,1.387,0.275,,,0,,0,,"Luhman+2007 , converted from A_j",,,13.51,0.026,12.95,0.023,12.622,0.03,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M5.75,,"3,024.00",,0.0800,,0.013,,0.42,,Line Width,Ha 10% width,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
2MASS J11095215-7639128,ISO-ChaI 217,,,,S,167.4667,-76.6536,Chameleon I,II,2,,2,240.1421642,-21.546,0.442,-0.434,0.37,,,2.6,,,,Fang 2017,,,13.532,0.026,12.538,0.024,11.823,0.027,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6.25,,"2,962.00",,0.0800,,0.028,,0.64,,Line Width,Ha 10% width,-66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-10,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
2MASS J11104141-7720480,ISO-ChaI 252,,,,S,167.6708,-77.3467,Chameleon I,II,2,,2,204.2233386,-21.623,0.614,0.485,0.465,,,3.4,,,,Furlan 2009,20.06,0.05,13.86,0.03,12.891,0.027,12.266,0.023,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6,,"2,990.00",,0.0800,,0.027,,0.62,,Line Width,Ha 10% width,-173.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-10,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
MHO 5,MHO 5,,,,S,68.06693958,18.21288417,Taurus,II,0.4265795188,,2,144.6215255,13.081,0.202,-17.566,0.114,,,0.11,,,,Muzerolle 2003,,,11.07,0.026,10.39,0.03,10.063,0.022,,,Muzerolle 2003,Keck II/ESI,2001,,,,M6,,,,0.0900,,,,0.5,,Line Width,Ha 10% width,-60,,,,-44,,,,-29,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,,,,,,,,,,,,,,,,,-1.00E-01,,,,0.5,,,,,,,1.58E-11,,Muzerolle 2001,D'Antona 1998,disk classification from LUHMAN ET AL. JAN 2010
2MASS J03442980+3200545,IC348 205,,,,S,56.12417667,32.01516667,IC348,II,2,,2,490.4364885,3.016,0.94,-7.614,0.501,15.43,0.189,1.21,,,,Muzerolle 2003,,,13.668,0.022,12.867,0.021,12.327,0.023,,,Muzerolle 2003,Keck II/ESI,2001,,,,M6,,,,0.0900,,,,,,Line Width,Ha 10% width,-105,,,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,-9.00E-01,,,,0.8,,,,,,,1.00E-10,,Muzerolle 2001,D'Antona 1998,disk classification from Ruiz-Rodrigues 2018
[NC98] Cha HA 5,Cha Ha 5,,,UPP,S,167.1004917,-77.69651139,Chamaeleon I,II,2,,2,196.7922857,-22.959,0.204,0.571,0.201,13.17,0.8,1,,,,Natta 2004,,,12.054,0.026,11.203,0.023,10.711,0.019,,,Natta 2004,VLT/UVES,2003,,160.0,,M6,0.5,"2,980.00",150,0.0954,,0.04897788194,1.584893192,0.83,,Line Width,Ha 10% width,-6.5,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,D'Antona 1998,
2MASS J04330781+2616066,KPNO 14,,,UPP,S,68.2833,26.2686,Taurus,II,1.5,,2,152.2510315,7.168,0.504,-17.312,0.316,17.07,0.374,3.41,0.85,,,Zhang 2018,,,11.907,0.022,10.805,0.022,10.269,0.02,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M6,,"2,990.00",,0.1000,,0.11,,1.2,,Line Width,Ha 10% width,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from LUHMAN ET AL. JAN 2010
2MASS J10561638-7630530,2MASS J10561638-7630530,,,,S,164.068252,-76.514725,Chameleon I,U,2,,2,196.4829551,-22.712,0.18,1.275,0.16,12.56,2.01,0,,0,,"Luhman+2007 , A_j",,,12.542,0.024,11.943,0.026,11.516,0.023,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M5.6,,"3,014.00",,0.1000,,0.031,,0.64,,Line Width,Ha 10% width,-41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58E-11,,Muzerolle 2003,Baraffe 1998,
2MASS J03441012+3204045,IC348 173,,,,S,56.04218417,32.06789944,IC348,II,0.2511886432,,,,,,,,16.81,0.345,1.42,,,,Muzerolle 2003,18.25,,13.223,0.024,12.412,0.021,11.93,0.022,,,Muzerolle 2003,Keck II/ESI,2001,,,,M5.75,,,,0.1000,,,,,,Line Width,Ha 10% width,-86,,,,-50,,,,-10,,,,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,-7.00E-01,,,,0.5,,,,,,,1.00E-10,,Muzerolle 2001,D'Antona 1998,
2MASS J10580597-7711501,2MASS J10580597-7711501,,,UPP,S,164.524916,-77.19725,Chameleon I,II,2,,2,186.570645,-23.199,0.231,2.441,0.204,,,,,0.45,,"Luhman+2007 , A_j",,,13.405,0.028,12.694,0.028,12.272,0.027,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M5.25,,"3,091.00",,0.1000,,0.018,,0.47,,Line Width,Ha 10% width,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
